ast_ID,vals,ra,dec
11J,2,"21.537381, 21.484372, 21.484372, 21.363639000000006","-33.944623, -31.238559, -31.238559, -29.166071"
12A,3,"22.096399, 22.169996, 22.169996, 21.736433, 22.169996, 22.421284","-0.319851, 6.197865, 6.197865, 9.875011, 6.197865, 1.377401"
12B,3,"22.480531, 22.360938, 22.480531, 22.589272, 22.480531, 22.421284","-0.019972, -1.387331, -0.019972, -0.117498, -0.019972, 1.377401"
12C,4,"21.830748, 21.874978, 21.830748, 21.73571, 21.830748, 21.88438, 21.830748, 21.744092","30.174215000000004, 28.793538, 30.174215000000004, 28.742632, 30.174215000000004, 25.92514, 30.174215000000004, 25.645036"
12D,2,"22.355372, 22.092964, 22.092964, 22.116847","28.330529, 28.963981, 28.963981, 25.345112"
12E,2,"22.26616, 22.213284, 22.213284, 22.166457","37.748737, 34.604592, 34.604592, 33.178224"
12F,7,"22.675233, 22.508128, 22.508128, 22.245656, 22.245656, 21.851383, 21.851383, 21.723791, 21.723791, 21.579596, 21.579596, 21.615827, 21.615827, 21.851383","44.276305, 43.123376, 43.123376, 42.95391, 42.95391, 39.536658, 39.536658, 38.283589, 38.283589, 38.534054, 38.534054, 40.413521, 40.413521, 39.536658"
12G,8,"23.65582, 23.131623, 23.131623, 22.596077, 22.596077, 22.163441, 22.163441, 21.698652, 21.698652, 21.477662, 21.477662, 20.742518, 20.742518, 20.334998, 20.334998, 20.5002","77.632276, 75.387496, 75.387496, 73.643188, 73.643188, 72.341207, 72.341207, 71.311417, 71.311417, 70.560716, 70.560716, 69.751813, 69.751813, 68.880317, 68.880317, 72.53170300000002"
12H,4,"22.486183, 23.001417, 23.001417, 22.64386, 22.180908, 23.001417, 23.001417, 22.250544","58.415198, 56.945374, 56.945374, 56.795632, 58.201261, 56.945374, 56.945374, 57.043587"
12I,3,"22.629273, 22.521753, 22.521753, 22.392264, 22.392264, 22.285139","-4.228056, -6.555151, -6.555151, -7.194421000000001, -7.194421000000001, -5.387164"
12J,10,"22.35988, 22.436306, 22.436306, 22.391901, 22.391901, 22.277073, 22.277073, 22.229008, 22.229008, 22.158044, 22.158044, 22.120864, 22.120864, 22.183993, 22.183993, 22.238342000000006, 22.238342000000006, 22.309489000000006, 22.309489000000006, 22.35988","-21.59823, -23.682447, -23.682447, -24.762661, -24.762661, -25.898162, -25.898162, -25.180905, -25.180905, -23.659109, -23.659109, -22.240668, -22.240668, -21.23279, -21.23279, -21.074566, -21.074566, -20.740014, -20.740014, -21.59823"
12K,1,"22.079839, 22.055234","-0.906343, -2.155363"
130,2,"23.157443, 23.165249, 23.165249, 23.111345","-21.17241, -22.457611, -22.457611, -23.743115"
13A,4,"23.079348, 23.062901, 23.062901, 23.343956, 23.062901, 22.833385, 23.062901, 22.695947","15.205264, 28.082789, 28.082789, 23.740337, 28.082789, 24.601579, 28.082789, 29.307641"
13B,1,"22.695947, 22.716704","29.307641, 30.221245"
13C,1,"22.833385, 22.775521","24.601579, 23.565654"
13D,1,"23.343956, 23.422993","23.740337, 23.404101"
