ast_ID,vals,ra,dec
94,10,"20.489926, 20.262816, 20.262816, 20.254415, 20.254415, 20.279746, 20.279746, 20.36762, 20.36762, 20.642198, 20.642198, 20.747919, 20.747919, 20.868801, 20.868801, 20.909344, 20.909344, 20.761043, 20.761043, 20.489926","30.368555, 27.814242, 27.814242, 25.591957, 25.591957, 24.671102, 24.671102, 24.446099, 24.446099, 24.115958, 24.115958, 25.270617, 25.270617, 27.096979, 27.096979, 28.057621, 28.057621, 30.719715, 30.719715, 30.368555"
95,1,"0.220598, 0.139791","15.183596, 29.090432"
96,1,"0.467475, 0.816308","17.893125, 16.940644"
97,4,"23.988525, 23.665844, 23.665844, 23.466138, 23.466138, 23.286094, 23.286094, 23.064615","6.863321000000001, 5.6262919999999985, 5.6262919999999985, 6.378992, 6.378992, 3.282289, 3.282289, 3.820045"
98,3,"23.773199, 23.700779, 23.700779, 23.448876, 23.448876, 23.1447","3.486811, 1.780041, 1.780041, 1.255608, 1.255608, 2.127883"
99,6,"0.74542, 0.8138920000000001, 0.8138920000000001, 1.185017, 1.185017, 1.334699, 1.334699, 1.430216, 1.430216, 1.906584, 1.906584, 2.484437","48.284364, 50.968168, 50.968168, 55.149901, 55.149901, 58.231611, 58.231611, 60.235283, 60.235283, 63.670101, 63.670101, 67.402474"
100,1,"0.5499970000000001, 0.5499970000000001","62.931783, 62.931783"
101,4,"0.945143, 0.152887, 0.152887, 0.616188, 0.81826, 0.152887, 0.152887, 0.6751159999999999","60.71674, 59.14978000000001, 59.14978000000001, 53.896909, 57.815187, 59.14978000000001, 59.14978000000001, 56.53733100000001"
102,1,"1.158368, 1.158368","47.241792, 47.241792"
103,15,"0.830234, 0.945885, 0.945885, 1.162194, 1.162194, 1.1852129999999998, 1.1852129999999998, 1.194342, 1.194342, 1.324443, 1.324443, 1.229152, 1.229152, 1.163667, 1.163667, 0.953445, 0.953445, 0.788981, 0.788981, 0.642602, 0.642602, 0.655462, 0.655462, 0.61468, 0.61468, 0.6225609999999999, 0.6225609999999999, 0.68533, 0.68533, 0.830234","41.078911, 38.499345, 38.499345, 35.620558, 35.620558, 31.424736, 31.424736, 30.089638, 30.089638, 27.264059000000003, 27.264059000000003, 24.583713, 24.583713, 19.658408, 19.658408, 23.417648, 23.417648, 24.267178, 24.267178, 29.311751, 29.311751, 30.861024, 30.861024, 33.719344, 33.719344, 35.399501, 35.399501, 39.458664, 39.458664, 41.078911"
104,1,"1.884696, 1.884696","29.578829, 29.578829"
105,6,"1.892597, 1.6905259999999998, 1.6905259999999998, 1.503087, 1.503087, 1.228857, 1.228857, 1.049058, 1.049058, 0.811373, 0.811373, 0.5399390000000001","3.187536, 5.487613, 5.487613, 6.14382, 6.14382, 7.575353999999999, 7.575353999999999, 7.890135000000001, 7.890135000000001, 7.585078999999999, 7.585078999999999, 6.955463000000001"
106,5,"1.2966540000000002, 0.8834709999999999, 0.8834709999999999, 0.5874659999999999, 0.5874659999999999, 1.050705, 1.050705, 1.276747, 1.276747, 1.2966540000000002","3.614466, -1.14426, -1.14426, -3.592846, -3.592846, -4.836601, -4.836601, -2.500368, -2.500368, 3.614466"
107,1,"0.72649, 0.72649","-17.986604999999994, -17.986604999999994"
108,9,"2.220369, 2.064984, 2.064984, 1.613299, 1.613299, 1.460915, 1.460915, 1.633205, 1.633205, 1.727675, 2.064984, 2.141454, 2.141454, 2.1590580000000004, 2.1590580000000004, 2.288573, 2.288573, 2.596336","44.231652, 42.329725, 42.329725, 41.405459, 41.405459, 45.406687, 45.406687, 48.628213, 48.628213, 50.688732, 42.329725, 37.859077, 37.859077, 34.987297, 34.987297, 33.847194, 33.847194, 34.687558"
109,2,"2.119555, 1.910668, 1.910668, 1.89217","23.462423, 20.808035, 20.808035, 19.293852"
110,5,"2.646943, 2.213355, 2.213355, 2.302094, 2.213355, 2.177109, 2.177109, 2.217584, 2.217584, 2.302094","21.961408, 21.210993, 21.210993, 19.901164, 21.210993, 19.500338, 19.500338, 15.27986, 15.27986, 19.901164"
111,5,"1.955848, 1.598542, 1.598542, 1.524725, 1.524725, 1.61831, 1.61831, 1.6613380000000002, 1.6613380000000002, 1.598542","17.817532, 17.433841, 17.433841, 15.345823, 15.345823, 12.141535, 12.141535, 16.405858, 16.405858, 17.433841"
112,5,"0.323799, 1.1431639999999998, 1.1431639999999998, 1.40039, 1.40039, 1.857676, 1.857676, 1.734479, 1.734479, 2.000084","-8.823921, -10.182264, -10.182264, -8.183257000000001, -8.183257000000001, -10.335038, -10.335038, -15.93748, -15.93748, -21.077831"
113,3,"1.760763, 1.647718, 1.647718, 1.49337, 1.49337, 1.760763","-25.05261, -21.275384, -21.275384, -21.629339, -21.629339, -25.05261"
114,8,"4.278638, 4.304056, 4.304056, 4.248295, 4.248295, 4.144357, 4.144357, 3.715416, 3.715416, 3.608159, 3.608159, 3.405378, 3.405378, 3.079942, 3.079942, 2.844945","53.611799, 50.295502, 50.295502, 48.409331, 48.409331, 47.712513, 47.712513, 47.787551, 47.787551, 48.19263400000001, 48.19263400000001, 49.86118, 49.86118, 53.50644000000001, 53.50644000000001, 55.895496"
115,1,"4.109735, 4.109735","50.351262, 50.351262"
116,7,"2.038359, 2.9042950000000003, 2.9042950000000003, 3.151005, 3.151005, 3.158258, 3.158258, 3.136148, 3.136148, 3.0862700000000003, 3.0862700000000003, 2.843063, 2.843063, 2.704144","54.487541, 52.762479000000006, 52.762479000000006, 49.613278, 49.613278, 44.857544, 44.857544, 40.955648, 40.955648, 38.840274, 38.840274, 38.318644, 38.318644, 40.193944"
117,1,"2.703739, 2.703739","42.777948, 42.777948"
118,3,"2.833063, 2.79848, 2.79848, 2.724198, 2.724198, 2.833063","27.260507, 29.247118, 29.247118, 27.707146, 27.707146, 27.260507"
119,3,"3.514549, 3.506797, 3.506797, 3.45282, 3.45282, 3.413554","12.936678, 11.336442, 11.336442, 9.73268, 9.73268, 9.02887"
120,12,"2.99525, 2.749039, 2.749039, 2.469317, 2.469317, 2.2166650000000003, 2.2166650000000003, 2.034117, 2.034117, 2.053236, 2.053236, 2.213206, 2.213206, 2.53595, 2.53595, 2.658044, 2.658044, 2.721678, 2.721678, 3.037992, 3.037992, 3.322693, 3.322693, 3.614551","8.907364999999997, 10.114146, 10.114146, 8.460054, 8.460054, 8.846717, 8.846717, 2.763759, 2.763759, 0.12850699999999998, 0.12850699999999998, -2.393637, -2.393637, -1.0348959999999998, -1.0348959999999998, 0.328511, 0.328511, 3.235818, 3.235818, 4.089734, 4.089734, 3.370198, 3.370198, 0.401662"
121,3,"4.359211, 4.6115080000000015, 4.6115080000000015, 4.831846, 4.831846, 4.877218","46.49887800000001, 41.264808, 41.264808, 37.488275, 37.488275, 36.703187"
122,5,"3.753232, 3.96423, 3.96423, 3.98275, 3.98275, 3.9022, 3.9022, 3.738648, 3.738648, 3.706291","42.578549, 40.010215, 40.010215, 35.791033, 35.791033, 31.883635, 31.883635, 32.288248, 32.288248, 33.965026"
123,1,"3.825748, 3.825748","33.091382, 33.091382"
124,8,"3.819373, 3.79141, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.763779, 3.763779, 3.79141, 3.763779, 3.75347, 3.75347, 3.746726, 3.746726, 3.747927","24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.367748, 24.367748, 24.105137, 24.367748, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339"
125,1,"4.078253, 4.078253","22.081926, 22.081926"
126,1,"4.704084, 4.704084","22.956926, 22.956926"
127,4,"4.243398, 4.397729, 4.397729, 4.232329, 4.258905, 4.397729, 4.397729, 4.225862","10.011406, 9.460968, 9.460968, 9.263824, 8.892357, 9.460968, 9.460968, 7.7160449999999985"
128,3,"2.600013, 2.659398, 2.659398, 2.432501, 2.432501, 2.534786","-7.831597, -11.872156, -11.872156, -12.29048, -12.29048, -15.244677"
129,13,"4.55849, 4.592512, 4.592512, 4.400613, 4.400613, 4.298237, 4.298237, 3.824237, 3.824237, 3.809963, 3.809963, 3.713908, 3.713908, 3.618244, 3.618244, 3.331944, 3.331944, 2.971023, 2.971023, 2.677781, 2.677781, 2.467139, 2.467139, 2.818169, 2.818169, 3.201249","-29.766492, -30.562341, -30.562341, -34.016846, -34.016846, -33.798348, -33.798348, -36.20025, -36.20025, -37.620155, -37.620155, -37.313518, -37.313518, -40.274545, -40.274545, -43.06978400000001, -43.06978400000001, -40.304672, -40.304672, -39.855375, -39.855375, -33.811039, -33.811039, -32.405898, -32.405898, -28.987618"
130,5,"5.992149, 5.27815, 5.27815, 4.9498940000000005, 4.9498940000000005, 5.438198000000001, 5.438198000000001, 5.995351, 5.995351, 5.992149","44.947433, 45.997991, 45.997991, 33.166090000000004, 33.166090000000004, 28.60745, 28.60745, 37.212585, 37.212585, 44.947433"
131,2,"5.363448, 5.318995, 5.318995, 5.223811","41.804572, 40.099051, 40.099051, 38.484498"
132,2,"5.10858, 5.032815, 5.032815, 5.041301","41.234474, 43.823308, 43.823308, 41.075837"
133,2,"5.8581660000000015, 5.850675, 5.850675, 5.819567","39.14848, 37.305573, 37.305573, 39.181071"
134,2,"5.545465, 5.643913, 5.643913, 5.452298000000001","32.192021999999994, 30.492412, 30.492412, 30.208603000000004"
135,4,"5.333589, 5.271708, 5.271708, 5.316674, 5.302935, 5.271708, 5.271708, 5.256777","33.958054, 34.312317, 34.312317, 33.748394, 33.371613, 34.312317, 34.312317, 32.6876"
