star_ID,count,ra,dec,size,culture
36284,1,7.4693869999999984,8.92553,36,korean
1473,1,0.305463,36.785224,36,seleucid
19811,1,4.248143,40.483671,36,boorong
86170,1,17.609121,-38.635308,36,tukano
27971,1,5.916062999999999,59.888367,36,chinese_medieval
99825,1,20.254806,-27.032977000000002,36,chinese_medieval
44504,1,9.066778,54.283887,36,chinese_medieval
26093,1,5.565079,14.305578,36,lokono
101868,1,20.642198,24.115958,36,korean
95556,1,19.435868,36.31789600000001,36,chinese_medieval
60900,1,12.481015,-6.530283,36,navajo
3456,1,0.736683,-38.421686,36,chinese_medieval
7650,1,1.6419259999999998,73.04004,36,chinese_medieval
2484,1,0.525725,-62.958218,36,western
57779,1,11.848706,12.279036999999999,36,chinese_medieval
106703,1,21.613553,-33.047896,36,chinese_medieval
26258,1,5.592046,-5.267384,36,tongan
42578,1,8.678669000000001,19.719314,36,chinese_medieval
7294,1,1.565528,59.23204000000001,36,chinese_medieval
107649,1,21.804363000000002,-47.303615,36,chinese_medieval
5251,1,1.119292,53.498185,36,tukano
89290,1,18.220194,-41.336110999999995,36,lokono
34318,1,7.1145770000000015,-24.960572,36,boorong
101997,1,20.669925,-23.77386700000001,36,chinese_medieval
56510,1,11.584695,54.785419,36,chinese_medieval
25945,1,5.536875,18.594234,36,korean
22044,1,4.740508,11.146137,36,chinese_medieval
111795,1,22.64386,56.795632,36,chinese_medieval
100232,1,20.328685,-1.078514,36,chinese_medieval
25769,1,5.502835,63.06721999999999,36,chinese_medieval
24109,1,5.178585,46.962070000000004,36,macedonian
110135,1,22.30948900000001,-20.740014000000002,36,chinese_medieval
46744,1,9.527497,-10.552013,36,chinese_medieval
76880,1,15.699110999999998,-19.678828,36,arabic_moon_stations
42133,1,8.588735,19.590063,36,egyptian
85922,1,17.55829,-5.744803,36,korean
61379,1,12.578448,-44.673018,36,chinese_medieval
25197,1,5.391065,57.544394999999994,36,korean
111515,1,22.593436999999998,-23.991094,36,chinese_medieval
109472,1,22.177078,-11.564939,36,korean
1630,1,0.340111,30.935614,36,seleucid
114273,1,23.1447,2.127883,36,korean
83057,1,16.971651,-50.641185,36,tupi
26210,1,5.585891,-0.269599,36,boorong
103527,1,20.973871,10.839286,36,egyptian
91237,1,18.610854,6.671805,36,korean
26234,1,5.589532,-4.42432,36,egyptian
79488,1,16.220953,5.021086,36,korean
56410,1,11.565639,36.815614000000004,36,chinese_medieval
103511,1,20.971208999999998,22.325908,36,armintxe
11348,1,2.433431,-15.341247000000001,36,chinese_medieval
26174,1,5.5800529999999995,-0.9536370000000001,36,boorong
87616,1,17.898548,-34.752721,36,chinese_medieval
102843,1,20.834695,44.059304,36,tupi
32537,1,6.7892779999999995,-37.929697999999995,36,chinese_medieval
