num_pairs,star,name,ra,dec,culture,color
9,14146,Khabasiranu,3.039863,-23.624472,mulapin,#f38b88
9,94779,Num Sum,19.28504,53.368458999999994,mongolian,#67422f
9,18907,Kulte',4.052606,5.989305,maya,#caaba9
9,21421,Te-Ra-o-Tainui,4.5986769999999995,16.509301,maori,#454341
9,27366,терезии,5.795941,-9.669605,macedonian,#bdb6a9
9,10340,CheonJaangGuun,2.220369,44.231652000000004,korean,#2f8cae
9,22109,GuJuJuGu,4.758375,-3.254657,korean,#2f8cae
9,37819,Ho,7.7542490000000015,-37.968584,korean,#2f8cae
9,35350,DongJeong,7.30155,16.540383,korean,#2f8cae
9,113246,Nunu,22.932472,-32.539628,mulapin,#f38b88
9,53740,Al-Battiyah,10.996244,-18.298783,arabic,#7d963a
9,100064,Al-Jadi,20.300904,-12.544852,arabic,#7d963a
9,21421,Alu,4.5986769999999995,16.509301,seleucid,#fdd190
9,91875,Al-I'klil Al-Janobi,18.729706,-38.323440999999995,arabic,#7d963a
9,114131,Grus,23.11465,-43.520358,western,#5bc4c7
9,71795,Bootes,14.685820000000001,13.7283,western,#5bc4c7
9,94779,Cygnus,19.28504,53.368458999999994,western,#5bc4c7
9,49669,Calul,10.139532,11.967207,romanian,#972549
9,91875,Corona Australis,18.729706,-38.323440999999995,western,#5bc4c7
9,53740,Crater,10.996244,-18.298783,western,#5bc4c7
9,100064,Capricornus,20.300904,-12.544852,western,#5bc4c7
9,68282,库楼,13.977986999999999,-44.803584,chinese_medieval,#e36856
9,82396,尾宿,16.83608,-34.293232,chinese_medieval,#e36856
9,35350,井宿,7.30155,16.540383,chinese_medieval,#e36856
9,104732,天津,21.215607000000002,30.226915999999996,chinese_medieval,#e36856
9,77655,贯索,15.85387,35.657382,chinese_medieval,#e36856
9,20507,九州殊口,4.394680999999999,-3.7454699999999996,chinese_medieval,#e36856
9,94779,Ajijaak,19.28504,53.368458999999994,ojibwe,#877b93
9,14146,Khabasiranu,3.039863,-23.624472,seleucid,#fdd190
9,65245,Tourtchinboiongerra,13.370854999999999,30.291938000000002,boorong,#7eb9cb
9,74666,Rataj,15.258376,33.314833,belarusian,#a9bbca
9,100064,Kaziarog,20.300904,-12.544852,belarusian,#a9bbca
9,15371,Kourt-chin,3.3033089999999996,-62.506363,boorong,#7eb9cb
9,37826,Citlaltlachtli,7.755277,28.026199,aztec,#315c93
9,113246,Nunu,22.932472,-32.539628,seleucid,#fdd190
8,101589,Otchocut,20.588482,14.674213,boorong,#7eb9cb
8,20266,传舍,4.344541,65.14044100000001,chinese_medieval,#e36856
8,82396,Mulā,16.83608,-34.293232,indian,#d56a88
8,52943,TasukiBoshi,10.827079,-16.193648,japanese_moon_stations,#e8d668
8,30343,ChichiriBoshi,6.3826730000000005,22.513586,japanese_moon_stations,#e8d668
8,82396,AshitareBoshi,16.83608,-34.293232,japanese_moon_stations,#e8d668
8,88012,天籥,17.977514000000006,-28.759089000000003,chinese_medieval,#e36856
8,87563,天纪,17.888341,40.007959,chinese_medieval,#e36856
8,21402,天节,4.594239,10.160789999999999,chinese_medieval,#e36856
8,36366,Yurree,7.485195,31.78455,boorong,#7eb9cb
8,29696,座旗,6.256304,29.498076,chinese_medieval,#e36856
8,13268,天船,2.844945,55.895495999999994,chinese_medieval,#e36856
8,19949,CheonSeon,4.278638,53.611799,korean,#2f8cae
8,22783,PalGok,4.900836,66.342678,korean,#2f8cae
8,90191,CheonGii,18.40383,39.507239,korean,#2f8cae
8,82396,Mii,16.83608,-34.293232,korean,#2f8cae
8,116727,天钩,23.655820000000002,77.632276,chinese_medieval,#e36856
8,29919,八谷,6.298563,61.515285999999996,chinese_medieval,#e36856
8,37740,Mato Tipila,7.740792999999999,24.397993,dakota,#303258
8,98754,左旗,20.058338,16.031254999999998,chinese_medieval,#e36856
8,19461,杠(附华盖),4.167439,80.69868100000002,chinese_medieval,#e36856
8,20889,毕宿,4.476943,19.180431,chinese_medieval,#e36856
8,67927,SHU.PA,13.911411,18.397717,seleucid,#fdd190
8,41822,Allutu,8.526591999999999,18.09442,seleucid,#fdd190
8,31592,GuunShii,6.6113990000000005,-19.255879,korean,#2f8cae
8,96665,右旗,19.653234,5.397773,chinese_medieval,#e36856
8,17847,Nhorkoatero,3.819373,24.053415,tukano,#ae7b3a
8,17499,Utinoe gnezdo,3.747927,24.113339,siberian,#7c7773
8,25281,Tuinga ika,5.4079489999999995,-2.3971459999999998,tongan,#c7d5d6
8,101772,九坎,20.626116,-47.291502,chinese_medieval,#e36856
8,100195,天田(牛宿),20.323223000000002,-19.118533,chinese_medieval,#e36856
8,27989,Ka Hei-Hei o Na Keiki,5.919529,7.407063000000001,hawaiian_starlines,#1e8871
8,102098,Navigator's Triangle,20.690532,45.280338,hawaiian_starlines,#1e8871
8,68756,Two Poles,14.073165,64.37585,egyptian,#91b6a8
8,93526,CheonByeon,19.048472,-3.6989870000000002,korean,#2f8cae
8,99742,JwaGi,20.237949,15.197609,korean,#2f8cae
8,20884,九斿,4.475589,1.3808209999999999,chinese_medieval,#e36856
8,67927,SHU.PA,13.911411,18.397717,mulapin,#f38b88
8,93580,天弁,19.058958999999998,1.818768,chinese_medieval,#e36856
8,98036,Aquila,19.921886999999998,6.406763,western,#5bc4c7
8,72607,Maang,14.845104999999998,74.155505,ojibwe,#877b93
8,78820,Nanaboujou,16.09062,-19.805453,ojibwe,#877b93
8,107310,Crucea mare,21.73571,28.742632,romanian,#972549
8,113368,Al-Hut Al-Janubi,22.960838,-29.622235999999997,arabic,#7d963a
8,3693,Anunitu,0.788981,24.267178,mulapin,#f38b88
8,41822,Allutu,8.526591999999999,18.09442,mulapin,#f38b88
8,3521,八魁,0.7491869999999999,-42.676558,chinese_medieval,#e36856
8,82396,Te-Waka-o-Tama-Rereti,16.83608,-34.293232,maori,#454341
8,98036,Al-'Okab,19.921886999999998,6.406763,arabic,#7d963a
8,24010,参旗,5.161654,15.597232,chinese_medieval,#e36856
8,17847,Myo,3.819373,24.053415,korean,#2f8cae
8,23607,SaamGii,5.076153,15.404105,korean,#2f8cae
8,20889,Piil,4.476943,19.180431,korean,#2f8cae
7,27989,Sos Bacheddos,5.919529,7.407063000000001,sardinian,#d3bc93
